"Motivo del rechazo";"Campaña";"Fecha de presupuesto";"Nº documento";"Tercero";"Descripción";"Imp. total líneas";"Importe total";"Proyecto";"Estado doc.";"Coste Materiales Previstos";"Horas Previstas";"Creado por"
"DUPLICADO";"CLIENTE RECURRENTE";"23-02-2026";"PT/26379";"COCONUT TIME EXPERIENCES, S.L.";"REPOSICION VINILO TARIMA IQOS SERRANO";420,66;509,00;"";"Cerrado - Rechazado";12,8;5;"AURELIO PULIDO"
"SIN RESPUESTA DE CLIENTE";"MAIL INFO";"23-02-2026";"PT/26378";"FANTÉ FOODS, S.L.";"MUEBLE EXPOSITOR";3849,30;4657,65;"";"Cerrado - Rechazado";254,66;22;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"23-02-2026";"PT/26377";"ORANGE ESPAGNE";"ELEMENTOS PARA STOCK, AÉREOS JAZZTEL";372,00;450,12;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"CLIENTE RECURRENTE";"20-02-2026";"PT/26376";"S CAVOLI, S.L.";"EVENTO REAL CASINO";1206,80;1460,23;"260073 - S CAVOLI - EVENTO REAL CASINO";"Cerrado - Pedido creado";130,8;11;"MARIA"
"SIN RESPUESTA DE CLIENTE";"CLIENTE RECURRENTE";"20-02-2026";"PT/26375";"S CAVOLI, S.L.";"EVENTO AUDITORIO DE MUSICA";2689,20;3253,93;"";"Cerrado - Rechazado";392,4;26;"MARIA"
"TIENEN OTRA OFERTA MEJOR";"CLIENTE RECURRENTE";"20-02-2026";"PT/26374";"IDONEA COMUNICACION, S.L.";"CENA KOSAS";3047,84;3687,89;"";"Cerrado - Rechazado";638;36;"ADALBERTO"
"";"CLIENTE RECURRENTE";"20-02-2026";"PT/26373";"HERMES IBERICA";"EXTRAS ESCAPARATES HERMES TWEE MUIZEN FEBRERO 2026 ORTEGA";550,75;666,41;"";"Cerrado - Pedido creado";62,5;8;"MARIA ANTON DUARTE"
"";"CLIENTE RECURRENTE";"20-02-2026";"PT/26372";"ORANGE ESPAGNE";"MASORANGE.- ENVÍO MATERIALES JESALMAR
";168,12;203,43;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"NO TIENEN PRESUPUESTO";"CLIENTE RECURRENTE";"02-03-2026";"PT/26371";"SUAREZ";"PREMIOS TROFEOS 2026";400,00;484,00;"";"Cerrado - Rechazado";100;3;"MARIA"
"";"CLIENTE RECURRENTE";"13-03-2026";"PT/26370";"NORTHSIX PRODUCTIONS AND EVENTS SPAIN, SLU";"LA VERBENA LAS ROZAS VILLAGE";21627,25;26168,97;"260210 - NORTHSIX - LA VERBENA LAS ROZAS VILLAGE";"Cerrado - Pedido creado";4008,45;206;"MARIA"
"";"CLIENTE RECURRENTE";"19-02-2026";"PT/26369";"IDONEA COMUNICACION, S.L.";"KIOSCO BENEFIT - SEPHORA SPRING MARKET 2026 ";6783,99;8208,63;"260081 - IDONEA - SEPHORA SPRING 26";"Cerrado - Pedido creado";2125;53;"LAURA MUÑOZ"
"";"ANUNCIOS";"19-02-2026";"PT/26368";"PRECIS DIGITAL, S.L.";"VINILOS OFICINAS PRECIS DIGITAL";613,80;742,70;"";"Cerrado - Pedido creado";37;10;"MARIA ANTON DUARTE"
"";"CLIENTE RECURRENTE";"19-02-2026";"PT/26367";"IDONEA COMUNICACION, S.L.";"KIOSCO GLOWERY - SEPHORA SPRING MARKET 2026 ";6504,51;7870,46;"260081 - IDONEA - SEPHORA SPRING 26";"Cerrado - Pedido creado";1605;68;"LAURA MUÑOZ"
"";"CLIENTE RECURRENTE";"19-02-2026";"PT/26366";"REMODELACIONES DARIOLIN S.L.";"LAMINA SOLAR";8376,09;10135,07;"";"Bajo evaluación";1;1;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"RECOMENDACION";"19-02-2026";"PT/26365";"KPOPHUB, S.L.";"MOBILIARIO TIENDA X - MADRID";37800,24;45738,29;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"18-02-2026";"PT/26364";"HERMES IBERICA";"TRUNK SHOW ORTEGA Y MARBELLA MAR 26";17453,00;21118,13;"";"Cerrado - Pedido creado";2646;218;"MARIA ANTON DUARTE"
"";"MAIL INFO";"18-02-2026";"PT/26363";"PULPO PRODUCCIONES, S.L.";"PHOTOCALL Y CARRITO ";20340,00;24611,40;"";"Cerrado - Pedido creado";4468;178;"ADALBERTO"
"";"CLIENTE RECURRENTE";"18-02-2026";"PT/26362";"ORANGE ESPAGNE";"ID 53021 AY MI MÓVIL, UTRERA, SEVILLA  .... A MEDIDA";1844,31;2231,62;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"RECOMENDACION";"18-02-2026";"PT/26361";"MAYICE STUDIO";"EXPOSICION ATENEO";13860,97;16771,77;"260067 - MAYICE - EXPOSICION ATENEO";"Cerrado - Pedido creado";3589,84;141;"MARIA"
"";"CLIENTE RECURRENTE";"26-02-2026";"PT/26360";"IDONEA COMUNICACION, S.L.";"KIOSCO TARTE - SEPHORA SPRING MARKET 2026 ";5489,47;6642,26;"260081 - IDONEA - SEPHORA SPRING 26";"Cerrado - Pedido creado";1665;48;"LAURA MUÑOZ"
"";"CLIENTE RECURRENTE";"17-02-2026";"PT/26359";"EUREST COLECTIVIDADES, S.L.";"MUESTRAS AEREOS";0,00;0,00;"260065 - EUREST COLECTIVIDADES, S.L. - MUESTRAS AÉREOS";"Cerrado - Pedido creado";20,83;3;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"17-02-2026";"PT/26358";"ORANGE ESPAGNE";"ID 54082 CONECTA 360, GETAFE, MADRID";457,55;553,64;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"NO SE REALIZA EL PROYECTO";"CLIENTE RECURRENTE";"16-02-2026";"PT/26357";"ESMA EVENTS S.L.";"FALL WINTER IFEMA";25980,89;31436,88;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"16-02-2026";"PT/26356";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"WOZERE HERMES CUBRE TRUSS";2867,00;3469,07;"";"Cerrado - Pedido creado";316;43;"ADALBERTO"
"";"CLIENTE RECURRENTE";"16-02-2026";"PT/26355";"BURBERRY SPAIN RETAIL";"TRENCH CAMPAIGN - BARCELONA MARZO 26";5224,81;6322,02;"240182 - BURBERRY - GRAFICA BARCELONA MARZO";"Cerrado - Pedido creado";780;10;"MARIA ANTON DUARTE"
"";"CLIENTE RECURRENTE";"16-02-2026";"PT/26354";"ORANGE ESPAGNE";"ID 52547 TU MOVIL LOW COST, UTRERA, SEVILLA ....... A MEDIDA";2216,93;2682,49;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"CLIENTE RECURRENTE";"16-02-2026";"PT/26353";"SUAREZ";"EXTRAS ESCAPARATES AÑO NUEVO CHINO";958,37;1159,63;"260041/61 - SUAREZ - ESCAPARATE AÑO NUEVO CHINO 26";"Cerrado - Pedido creado";232;7;"MARIA"
"";"MAIL INFO";"13-02-2026";"PT/26352";"SEABASS EUROA S.L.U.";"MODULAR POP-UP";3934,20;4760,38;"";"Bajo evaluación";700,03;40;"CRISTINAC"
"NO SE REALIZA EL PROYECTO";"CLIENTE RECURRENTE";"13-02-2026";"PT/26351";"ESMA EVENTS S.L.";"TARIMA TEATRO INFANTA ISABEL";6996,88;8466,22;"";"Cerrado - Rechazado";2320;4;"AURELIO PULIDO"
"DUPLICADO";"CLIENTE RECURRENTE";"12-02-2026";"PT/26350";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"FORRADO DE TRUSS EVENTO HERMES FEBRERO 26";950,00;1149,50;"";"Cerrado - Rechazado";1;1;"ADALBERTO"
"";"CLIENTE RECURRENTE";"24-02-2026";"PT/26349";"MERYDEIS GRUPPO, S.L";"CAUDALIE - PRODUCCIÓN ESTANTERÍA";2800,14;3388,17;"";"Bajo evaluación";231;22;"CRISTINAC"
"";"CLIENTE RECURRENTE";"12-02-2026";"PT/26348";"ORANGE ESPAGNE";"ID 49298 SERVICIOS COMN., PALMA DE MALLORCA, ISLAS BALEARES ...... A MEDIDA";2223,69;2690,66;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"TIENEN OTRA OFERTA MEJOR";"CLIENTE RECURRENTE";"11-02-2026";"PT/26347";"CHEIL SPAIN S.L.";"LANZAMIENTO ACTIVACIÓN";10231,50;12380,12;"";"Cerrado - Rechazado";2471,2;61;"MARIA"
"";"CLIENTE RECURRENTE";"27-02-2026";"PT/26346";"IDONEA COMUNICACION, S.L.";"KIOSCO KOSAS - SEPHORA SPRING MARKET 2026 ";7318,94;8855,92;"260081 - IDONEA - SEPHORA SPRING 26";"Cerrado - Pedido creado";2200;56;"LAURA MUÑOZ"
"TIENEN OTRA OFERTA MEJOR";"CLIENTE RECURRENTE";"11-02-2026";"PT/26345";"COCONUT TIME EXPERIENCES, S.L.";"PINTADO CERRAMIENTO DE OBRA ";860,00;1040,60;"";"Cerrado - Rechazado";682;0;"AURELIO PULIDO"
"DUPLICADO";"CLIENTE RECURRENTE";"11-02-2026";"PT/26344";"FUNDACION UNIVERSIDAD FRANCISCO DE VITORIA";"MONOPOSTE UFV";6128,99;7416,08;"260064 - FUNDACION FCO. VITORIA - MONOPOSTE";"Cerrado - Rechazado";2800;0;"AURELIO PULIDO"
"DUPLICADO";"CLIENTE RECURRENTE";"10-02-2026";"PT/26343";"COCONUT TIME EXPERIENCES, S.L.";"ESCAPARATE IQOS SERRANO MARZO";25759,35;31168,81;"";"Cerrado - Rechazado";5217,86;200;"AURELIO PULIDO"
"DUPLICADO";"CLIENTE RECURRENTE";"10-02-2026";"PT/26341";"COCONUT TIME EXPERIENCES, S.L.";"PANELADO FACHADA IQOS MARZO";30021,22;36325,68;"260082 - COCONUT - FACHADA IQOS SERRANO MARZO";"Cerrado - Rechazado";4324,9;325;"AURELIO PULIDO"
"NO SE REALIZA EL PROYECTO";"MAIL INFO";"10-02-2026";"PT/26340";"PULPO PRODUCCIONES, S.L.";"EVENTO HUBLOT ABRIL MAYO MADRID 2026";65096,45;78766,70;"";"Cerrado - Rechazado";29500;261;"ADALBERTO"
"NO SE REALIZA EL PROYECTO";"RECOMENDACION";"10-02-2026";"PT/26339";"CONNECTING PROJECT, S.L.";"EXPOSITOR NOTHING";1298,05;1570,64;"";"Cerrado - Rechazado";270;0;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"10-02-2026";"PT/26338";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"EXTRAS KIEHL`S MADRID";937,20;1134,01;"";"Cerrado - Pedido creado";224;28;"MARIA ANTON DUARTE"
"";"CLIENTE RECURRENTE";"10-02-2026";"PT/26337";"ORANGE ESPAGNE";"ID 31684 SYMOVIL, CANDELEDA, AVILA ...... A MEDIDA";2968,51;3591,90;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"CLIENTE RECURRENTE";"09-02-2026";"PT/26336";"COCONUT TIME EXPERIENCES, S.L.";"PLV IQOS LEVIA & TEREA";4806,23;5815,54;"260049 - COCONUT - PLV IQOS LEVIA & TEREA ENERO 26";"Cerrado - Pedido creado";1240;37;"LAURA MUÑOZ"
"TIENEN OTRA OFERTA MEJOR";"ANUNCIOS";"09-02-2026";"PT/26335";"ABB27 S.L.";"VINILOS FARMACIA";176,25;213,26;"";"Cerrado - Rechazado";55;2;"BELEN ESPEJO"
"NO SE REALIZA EL PROYECTO";"CLIENTE RECURRENTE";"09-02-2026";"PT/26334";"L'OREAL PARIS";"PRADA PROTOTYPE ";15853,85;19183,16;"";"Cerrado - Rechazado";4190;186;"ADALBERTO"
"";"CLIENTE RECURRENTE";"09-02-2026";"PT/26333";"FUNDACION UNIVERSIDAD FRANCISCO DE VITORIA";"ROTULO LUMINOSO MSI";14625,00;17696,25;"";"Bajo evaluación";8125;;"MARIA"
"";"CLIENTE RECURRENTE";"06-02-2026";"PT/26332";"ERICH BRODHEIM";"TRENCH CAMPAIGN - LISBON WINDOWS MARCH 26";1400,84;1671,74;"";"Cerrado - Pedido creado";330;3;"MARIA ANTON DUARTE"
"";"CLIENTE RECURRENTE";"06-02-2026";"PT/26331";"ERICH BRODHEIM";"TRENCH CAMPAIGN - PORTO WINDOWS MARCH 26";2073,31;2073,31;"";"Cerrado - Pedido creado";185;3;"MARIA ANTON DUARTE"
"";"CLIENTE RECURRENTE";"06-02-2026";"PT/26330";"ORANGE ESPAGNE";"ELEMENTOS PARA STOCK SIMYO, MASMOVIL, JAZZTEL, PEPEPHONE";30072,00;36387,12;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"CLIENTE RECURRENTE";"06-02-2026";"PT/26329";"COCONUT TIME EXPERIENCES, S.L.";"IQOS FALLAS";11119,45;13454,53;"260052 - COCONUT - FALLAS";"Cerrado - Pedido creado";1556,35;118;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"06-02-2026";"PT/26328";"ORANGE ESPAGNE";"MASORANGE.- ENVÍO MATERIALES DIRECTO MADRID, IMAGINEPRO
";132,00;159,72;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"NO SE REALIZA EL PROYECTO";"RECOMENDACION";"06-02-2026";"PT/26327";"FAMAEX";"SOPORTES TV DIA";4681,80;5664,98;"";"Cerrado - Rechazado";2601;10;"AURELIO PULIDO"
"DUPLICADO";"CLIENTE RECURRENTE";"06-02-2026";"PT/26326";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"POP UP PRADA MAYO 2026";53916,90;65239,45;"";"Cerrado - Rechazado";6800;472;"LAURA MUÑOZ"
"";"CLIENTE RECURRENTE";"05-02-2026";"PT/26325";"EVENTMEDIA PRODUCCIONES SL";" PHOTOCALL EDIFICIO TELEFONICA";4889,68;5916,51;"";"Cerrado - Pedido creado";1222;32;"ADALBERTO"
"NO SE REALIZA EL PROYECTO";"CLIENTE RECURRENTE";"05-02-2026";"PT/26324";"NAMELESS GLOBAL S.L.";"CONTENEDOR PERSONALIZADO";22103,13;26744,79;"";"Cerrado - Rechazado";5162,85;155;"MARIA"
"DUPLICADO";"";"05-02-2026";"PT/26323";"CONNECTING PROJECT, S.L.";"EXPOSITOR NOTHING";1504,86;1820,88;"";"Cerrado - Rechazado";270;0;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"05-02-2026";"PT/26322";"VAMPIRE STUDIO S.L.";"ROTULOS ESTRELLA DAMM";20195,10;24436,07;"";"Borrador";;;"AURELIO PULIDO"
"";"ANUNCIOS";"04-02-2026";"PT/26321";"GASTROTOUCH MARKETING SOLUTIONS, S.L.";"VINILOS STAND IFEMA";736,85;891,59;"260048 - GASTROTOUCH - VINILOS";"Cerrado - Pedido creado";125,9;3;"AURELIO PULIDO"
"NO SE REALIZA EL PROYECTO";"CLIENTE RECURRENTE";"04-02-2026";"PT/26320";"ESMA EVENTS S.L.";"ELEMENTOS PEDRO DEL HIERRO";708,75;857,59;"";"Cerrado - Rechazado";321;3;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"03-02-2026";"PT/26319";"ORANGE ESPAGNE";"ID 60671 LAMARR TELECOM, BENIDORM, ALICANTE ...... A MEDIDA";2246,28;2718,00;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"SIN RESPUESTA DE CLIENTE";"CLIENTE RECURRENTE";"04-02-2026";"PT/26318";"EVENTMEDIA PRODUCCIONES SL";"MARATON XIAOMI 2026";55026,60;66582,19;"";"Cerrado - Rechazado";42500;10;"ADALBERTO"
"DUPLICADO";"CLIENTE RECURRENTE";"04-02-2026";"PT/26317";"COCONUT TIME EXPERIENCES, S.L.";"VINILADO ESCAPARATES ELECTRIC";5584,18;6756,86;"260069 - COCONUT - ELECTRIC PURPLE ";"Cerrado - Rechazado";568;14;"AURELIO PULIDO"
"TIENEN OTRA OFERTA MEJOR";"";"03-02-2026";"PT/26316";"THIS IS UNDERGROUND";"CUBO RETROILUMINADO";1660,11;2008,73;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"DUPLICADO";"CLIENTE RECURRENTE";"03-02-2026";"PT/26315";"IDONEA COMUNICACION, S.L.";"DISEÑO -  SEPHORA SPRING MARKET 2026";486,00;588,06;"";"Cerrado - Rechazado";1;10;"LAURA MUÑOZ"
"";"CLIENTE RECURRENTE";"16-03-2026";"PT/26314";"WASABI COMUNICACION INTEGRAL";"AMPLIACIÓN ELEMENTOS WIZINK";157959,46;191130,95;"";"Borrador";1;1;"MARIA"
"";"CLIENTE RECURRENTE";"03-02-2026";"PT/26313";"ORANGE ESPAGNE";"ID 40699 STOUPHONE, BIZKAIA ...... A MEDIDA";2491,36;3014,55;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"CLIENTE RECURRENTE";"03-02-2026";"PT/26312";"ORANGE ESPAGNE";"ID 48692 MOOVIL EL PALMAR, EL PALMAR, MURCIA ...... A MEDIDA";2741,83;3317,61;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"CLIENTE RECURRENTE";"24-02-2026";"PT/26311";"IDONEA COMUNICACION, S.L.";"ESPACIO SEPHORA - SEPHORA SPRING MARKET 2026";34156,17;41328,97;"260081 - IDONEA - SEPHORA SPRING 26";"Cerrado - Pedido creado";7527;365;"LAURA MUÑOZ"
"";"CLIENTE RECURRENTE";"03-02-2026";"PT/26310";"ENPLOT, S.L.";"PLV 35 YEAR OLD RUM";2187,49;2646,86;"260045 - ENPLOT - PLV";"Cerrado - Pedido creado";496;4;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"03-02-2026";"PT/26309";"ESMA EVENTS S.L.";"TARIMA MUSICO";408,62;494,43;"260113/115 - ESMA - DESFILE PEDRO DEL HIERRO";"Cerrado - Pedido creado";47,04;5;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"02-02-2026";"PT/26308";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"PERFILES MOQUETA EVENTO HERMES FEBRERO 2026";1067,00;1291,07;"";"Cerrado - Pedido creado";126;14;"ADALBERTO"
"";"CLIENTE RECURRENTE";"03-03-2026";"PT/26307";"IDONEA COMUNICACION, S.L.";"KIOSCO RARE BEAUTY - SEPHORA S.MARKET 2026 ";6832,06;8266,79;"260081 - IDONEA - SEPHORA SPRING 26";"Cerrado - Pedido creado";1995;55;"LAURA MUÑOZ"
"NO TIENEN PRESUPUESTO";"CLIENTE RECURRENTE";"02-02-2026";"PT/26306";"VAMPIRE STUDIO S.L.";"PORTA MENUS";2074,00;2509,54;"";"Cerrado - Rechazado";808;5;"AURELIO PULIDO"
"DUPLICADO";"CLIENTE RECURRENTE";"02-02-2026";"PT/26305";"IDONEA COMUNICACION, S.L.";" MATCH HOSPITALITY F1";11843,20;14330,27;"";"Cerrado - Rechazado";4134;120;"ADALBERTO"
"";"CLIENTE RECURRENTE";"02-02-2026";"PT/26304";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"EXTRAS LANCOME GODDESS";8298,30;10040,94;"260020 - WOZERE - LANCOME GODDESS";"Cerrado - Pedido creado";1500;114;"LAURA MUÑOZ"
"";"CLIENTE RECURRENTE";"02-02-2026";"PT/26303";"IDONEA COMUNICACION, S.L.";"KIOSCO AUTHENTIC BEAUTY CONCEPT - SEPHORA S.MARKET 2026 ";7236,86;8756,60;"260081 - IDONEA - SEPHORA SPRING 26";"Cerrado - Pedido creado";2730;47;"LAURA MUÑOZ"
"";"MAIL INFO";"02-02-2026";"PT/26302";"MURPH MEDIA GROUP, S.L.";"EVENTO FARO DE MONCLOA";12978,02;15703,40;"260042 - MURPH - FARO DE MONCLOA";"Cerrado - Pedido creado";3674,11;127;"MARIA"
"";"ACCION COMERCIAL";"03-02-2026";"PT/26301";"ORANGE ESPAGNE";"MASORANGE.- ENVÍO ALTERNATIVO DIRECTO ESTE, TARRAGONA";144,00;174,24;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";5;1;"PILAR GOMEZ"
"TIENEN OTRA OFERTA MEJOR";"MAIL INFO";"29-01-2026";"PT/26300";"SLOWFASHION ES MODA, S.L. / ULALUME";"MADRID ES MODA 2026";1243,05;1504,09;"";"Cerrado - Rechazado";146,82;4;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"30-01-2026";"PT/26299";"SUAREZ";"ESCAPARATES AÑO NUEVO CHINO";2735,75;3310,26;"260041/61 - SUAREZ - ESCAPARATE AÑO NUEVO CHINO 26";"Cerrado - Pedido creado";489,5;28;"MARIA"
"DUPLICADO";"CLIENTE RECURRENTE";"29-01-2026";"PT/26298";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"LANCOME GODDESS 2026 CAMBIO FACHADA";65972,18;79826,34;"";"Cerrado - Rechazado";14457,82;758;"LAURA MUÑOZ"
"DUPLICADO";"CLIENTE RECURRENTE";"29-01-2026";"PT/26297";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"EXTRA CAMBIO FACHACA LANCOME GODDESS";15308,25;18522,98;"";"Cerrado - Rechazado";3759,87;132;"LAURA MUÑOZ"
"SIN RESPUESTA DE CLIENTE";"CLIENTE RECURRENTE";"28-01-2026";"PT/26296";"NAMELESS GLOBAL S.L.";"EVENTO EL GANSO";9269,41;11215,99;"";"Cerrado - Rechazado";975,36;118;"MARIA"
"";"RECOMENDACION";"28-01-2026";"PT/26295";"DENIS GALOCHA VALLEJO";"ESCAPARATES HERMES TWEE MUIZEN FEBRERO 2026 ORTEGA";4724,00;5716,04;"";"Cerrado - Pedido creado";277;73;"MARIA ANTON DUARTE"
"";"CLIENTE RECURRENTE";"28-01-2026";"PT/26294";"HERMES IBERICA";"ESCAPARATES HERMES TWEE MUIZEN FEBRERO 2026 ORTEGA";11872,40;14365,60;"";"Cerrado - Pedido creado";1664,5;118;"MARIA ANTON DUARTE"
"";"CLIENTE RECURRENTE";"28-01-2026";"PT/26293";"CHEIL SPAIN S.L.";"LANZAMIENTO MIRACLE FEBRERO VALENCIA";490,96;594,06;"260034 - CHEIL - MIRACLE VALENCIA";"Cerrado - Pedido creado";129,86;5;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"28-01-2026";"PT/26292";"ORANGE ESPAGNE";"ID 42744 JAVA INNOVACIÓN (ZUERA) - ZARAGOZA ...... MEDICIÓN + PRODUCCIÓN (1 ELEMENTO)";180,95;218,95;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"NO SE REALIZA EL PROYECTO";"CLIENTE RECURRENTE";"27-01-2026";"PT/26291";"COCONUT TIME EXPERIENCES, S.L.";"ESCAPARATE IQOS BILBAO";4317,94;5224,71;"";"Cerrado - Rechazado";1032;14;"AURELIO PULIDO"
"NO TIENEN PRESUPUESTO";"RECOMENDACION";"26-01-2026";"PT/26290";"CONNECTING PROJECT, S.L.";"CUBO EFECTO HIELO";3032,10;3668,84;"";"Cerrado - Rechazado";1;1;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"26-01-2026";"PT/26289";"ROTULOS SIMON";"VINILOS ESCALERAS";18,00;21,78;"260024 - ROTULOS SIMON 26";"Cerrado - Pedido creado";5;0;"MARIA"
"";"CLIENTE RECURRENTE";"27-01-2026";"PT/26288";"GIORGIO ARMANI RETAIL SUCURSAL";"ETIQUETAS PVC";1955,20;2365,79;"";"Cerrado - Pedido creado";700;2;"ADALBERTO"
"NO TIENEN PRESUPUESTO";"RECOMENDACION";"26-01-2026";"PT/26287";"CONNECTING PROJECT, S.L.";"FALSO CUBO DE HIELO";12543,32;15177,42;"";"Cerrado - Rechazado";8373;6;"AURELIO PULIDO"
"";"CLIENTE RECURRENTE";"26-01-2026";"PT/26286";"GIORGIO ARMANI RETAIL SUCURSAL";"COMERCIAL PLAZA RIO 2";453,60;548,86;"";"Cerrado - Pedido creado";1;8;"ADALBERTO"
"";"CLIENTE RECURRENTE";"26-01-2026";"PT/26285";"COCONUT TIME EXPERIENCES, S.L.";"DEGRADADO VINILOS 2 FEBRERO";4127,32;4994,06;"250558 - COCONUT - ESCAPARATE IQOS";"Cerrado - Pedido creado";298;40;"AURELIO PULIDO"
"SIN RESPUESTA DE CLIENTE";"CLIENTE RECURRENTE";"23-01-2026";"PT/26284";"TAMKEEN FRANCHISES TRADING CO. - SUAREZ";"AL-KHAYYAT & TAHLIAH RAMADAN WINDOW DISPLAYS";1971,08;1971,08;"";"Cerrado - Rechazado";197;23;"MARIA"
"";"CLIENTE RECURRENTE";"23-01-2026";"PT/26283";"WOZERE IMAGEN Y COMUNICACIÓN S.L";"LANCOME GODDESS 2026";60631,69;73364,34;"260020 - WOZERE - LANCOME GODDESS";"Cerrado - Pedido creado";14457,82;758;"LAURA MUÑOZ"
"";"CLIENTE RECURRENTE";"23-01-2026";"PT/26282";"ORANGE ESPAGNE";"ID 44983 DAM (TAUSTE), 52567 EXIACOM (ZRZ), 42744 JAVA INNOVACIÓN (ZUERA) - ZARAGOZA ...... PRODUCCIÓN";175,38;212,21;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"CLIENTE RECURRENTE";"23-01-2026";"PT/26281";"ORANGE ESPAGNE";"MASORANGE.- ENVÍO ELEMENTOS REPOSICIÓN MAXIMOVIL
";181,20;219,25;"26ORANGE - ORANGE - SIMYO 2026";"Cerrado - Pedido creado";1;1;"PILAR GOMEZ"
"";"CLIENTE RECURRENTE";"22-01-2026";"PT/26280";"NORTH SAILS";"REPARACIÓN ILUMINACIÓN SHOWROOM MADRID";295,40;357,43;"";"Cerrado - Pedido creado";31,76;4;"LAURA MUÑOZ"
"DUPLICADO";"CLIENTE RECURRENTE";"02-02-2026";"PT/26279";"IDONEA COMUNICACION, S.L.";"KIOSCO GENERICO - SEPHORA SPRING MARKET 2026 ";12946,59;15665,37;"";"Cerrado - Rechazado";1;1;"LAURA MUÑOZ"
"TIENEN OTRA OFERTA MEJOR";"MAIL INFO";"22-01-2026";"PT/26278";"ANA LOPEZ SANCHEZ";"PEANAS CIRCULARES";14945,49;18084,04;"";"Cerrado - Rechazado";1740,02;194;"MARIA"
"";"CLIENTE RECURRENTE";"22-01-2026";"PT/26277";"SERINT GRUPO HMY";"ARCO VODAFONE CC ALCAMPO LA LAGUNA TENERIFE";7075,64;8561,52;"";"Bajo evaluación";1;1;"LAURA MUÑOZ"
"DUPLICADO";"RECOMENDACION";"22-01-2026";"PT/26276";"FAMAEX";"SOPORTES TV DIA";30168,00;36503,28;"";"Cerrado - Rechazado";5505;20;"AURELIO PULIDO"
"";"RECOMENDACION";"21-01-2026";"PT/26274";"SAS INSTITUTE, S.A.U.";"UNIVERSIDAD FRANCISCO DE VITORIA COLABORACION ACADEMICA SAS";661,40;800,29;"260046 - SAS INSTITUTE - UNIVERSIDAD UFV";"Cerrado - Pedido creado";80;4;"MARIA"
"";"CLIENTE RECURRENTE";"21-01-2026";"PT/26273";"SUAREZ";"LACADO DE BUSTOS";625,24;756,54;"260013/27 - SUAREZ - ESCAPARATE SAN VALENTIN 2026";"Cerrado - Pedido creado";12,5;7;"MARIA"
